,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
330,1047,1011110001,7530,3.9,Cats & Dogs: The Revenge of Kitty Galore (2010),2010,Cats & Dogs: The Revenge of Kitty Galore,tt1287468,3213270,6.2,6518,Cats & Dogs: The Revenge of Kitty Galore,Action,Adventure,Adventure
331,1048,2111100000,64363,3.2,Catwoman (2004),2004,Catwoman,tt0327554,1308771,5.5,10333,Catwoman,Action,Comedy,Comedy
332,1052,2310,31115,7.6,Celda 211 (2009),2009,Celda 211,tt1242422,3103418,8.0,14717,Celda 211,Action,Fantasy,Fantasy
333,1055,122100,61237,6.5,Cellular (2004),2004,Cellular,tt0337921,1326208,7.1,11650,Cellular,Action,Drama,Drama
334,1057,13200,13970,6.8,Cemetery Junction (2010),2010,Cemetery Junction,tt1196204,3003842,7.6,6642,Cemetery Junction,Action,Crime,Crime
335,1058,12101,12034,6.3,Center Stage (2000),2000,Center Stage,tt0210616,1294689,8.1,5144,Center Stage,Comedy,Drama,Drama
336,1059,1213,23089,7.9,Central do Brasil (1998),1998,Central do Brasil,tt0140888,1292218,8.7,52177,Central do Brasil,Drama,Music,Music
337,1060,122100,46161,6.3,Centurion (2010),2010,Centurion,tt1020558,3443393,6.1,5715,Centurion,Drama,,
338,1065,122100,11131,6.2,Chakushin ari (2003),2003,Chakushin ari,tt0366292,1455849,6.7,16579,着信アリ,Action,Adventure,Adventure
339,1069,2311,147858,7.8,Changeling (2008),2008,Changeling,tt0824747,2028666,8.3,67626,Changeling,Horror,Mystery,Mystery
340,1076,12211,27190,7.2,Chariots of Fire (1981),1981,Chariots of Fire,tt0082158,1300487,7.6,5100,Chariots of Fire,Drama,History,History
